,MSFT,AAPL,NVDA,GOOGL,GOOG,AMZN,META,AVGO,TSLA,ORCL,CRM,NFLX,AMD,QCOM,ADBE,ASML,ADI,LLY,JNJ,MRK,TMO,PFE,CVS,BRK-B,JPM,V,MA,BAC,WFC,ACN,MS,BLK,GS,BA,LMT,RTX,GE,NOC,XOM,CVX,LIN,SBGSY,WMT,UNH,PG,COST,HD,KO,PEP,MCD,LVMUY,NSRGY,TM,LRLCY,GM,BAB,NKE,T,F
Open,143.0471506241704,73.6390500744777,107.66751598098708,65.59172995184299,65.51107411856891,78.54325969668871,168.61495594803642,317.63664163695586,86.2565613207856,57.072801850058816,133.50712013891626,253.71960352702897,42.008700804964334,88.36494913579975,254.493816226923,300.37973203620237,102.51688942980411,167.3594370302384,129.71422666189952,69.57200312517391,287.01455218885775,34.8760173129906,77.24968450072663,204.251573842125,99.51335152971534,137.22218375613602,210.32334938204596,25.16752374544234,46.67521033875816,179.30822242648824,52.31467099590897,492.52478313575443,237.10516626831634,198.53056660241964,297.5251594036211,75.68536698510883,91.1478517725154,278.61363616306716,82.3591553521124,118.88798839589796,198.60055292509952,20.895909069674634,34.75896314300061,254.52949118905346,106.45310035715919,276.54962688999876,195.59872129199624,48.28661806321371,122.85573950292621,172.66602102354716,80.9815570030316,93.14694713090459,134.2435921807464,53.69065466276503,36.76924356450219,29.780983712003543,79.18349727879063,24.23837677044655,12.544182507930326
High,144.4329953607743,74.42460003798496,109.6232851661206,66.27728648878018,66.20247170818386,79.44375663955306,170.801221117074,321.668093280844,88.13882174675467,57.63050887122083,135.1356309168698,257.54336666931454,42.86229988726379,89.42577000130144,257.5170485983063,303.686987649149,103.64338527638036,169.1912210806092,130.60087511691503,70.15615517604625,289.89916554428993,35.19166844314927,77.95895521352864,205.55243217799526,100.42932151680562,138.43837099579974,212.39329442887325,25.436807991044653,47.12164182611204,180.94967072563225,52.90099050878993,497.25175699158956,239.5308106757569,200.89310741295162,300.03163493245717,76.3386366144126,92.0166498977423,281.29352095072113,83.0748100203122,119.94947430236692,200.20555283741842,21.044555633977115,35.03018999164431,257.0092504364179,107.2184972879521,278.8840704650051,197.4184360361811,48.60494742788162,123.69467772816382,173.8937653291824,81.60947092579049,93.57471167022209,134.9021945963721,54.044033262752286,37.20718453858892,29.860407039947717,79.96451920440757,24.419161175775724,12.686964048944626
Low,141.60444021936672,72.89369459197512,105.62144913391957,64.92461930751153,64.86860994632727,77.56250363094998,166.49916556085304,313.5606276319341,84.23031020597169,56.57432838502053,131.7975153334267,249.76301820242583,41.12611600776864,87.30258141185082,251.278924838497,297.03179100766437,101.34548504155235,165.54446741619137,128.79050206685164,68.97545710088764,284.0617741865575,34.55683257427759,76.51983376273954,202.74823937228447,98.60970157069461,135.98790707581725,208.20688899336548,24.895166200407488,46.23780867332034,177.7808548203964,51.734620118238226,487.62733423758397,234.72895869147663,196.11431470946025,295.0077746273543,75.00438079161107,90.27114562522443,275.9391621779878,81.63760177930628,117.76655698954816,197.07061391801977,20.747289689295652,34.5053098114407,252.01910110794543,105.73104475634716,274.2296303059385,193.85151292963945,47.9571387447528,121.97390782008178,171.43829038249913,80.42398577499907,92.70757797582826,133.50215059898926,53.38816138556078,36.2970827133717,29.685844647835843,78.39406974797656,24.048300882854488,12.388056325459578
Close,143.08662485979306,73.69093258668804,107.71899084190824,65.61964786715876,65.551390693178,78.52138310015768,168.69386367590812,317.7705969331708,86.2298498124976,57.10360922936345,133.5217171517609,253.7438688841086,42.01272383736626,88.37961327204711,254.53855847018383,300.51617693804013,102.54528834603049,167.4478053529033,129.7278833143423,69.57498269229926,287.0772661069355,34.87431688127557,77.24605493014994,204.2036973986891,99.5356241042449,137.23995171796676,210.36210648757955,25.16664517896308,46.679972891891666,179.42025454946904,52.319514996646376,492.51234728995627,237.1601627976147,198.4908243047334,297.52390109182534,75.67885930826091,91.14602867589716,278.6673981784318,82.3715128258093,118.87774080693156,198.69779852060967,20.904959289157407,34.76828698387301,254.57012893645702,106.49195737075289,276.6973677393216,195.68115664628337,48.28566315183808,122.86374836666775,172.691753692834,81.0934803592625,93.13519341974764,134.22728961908348,53.754308016685165,36.75194707492637,29.773995942306,79.1827705815495,24.234949358444524,12.538405704045394
Adj Close,137.58866482415064,71.55674207420815,107.45051544063612,65.61964786715876,65.551390693178,78.52138310015768,168.52375156423292,289.4934826156016,86.2298498124976,53.11172613521767,133.35192483930444,253.7438688841086,42.01272383736626,78.04887801109531,254.53855847018383,290.2920956669863,94.44245842903892,158.90144497471553,113.39837697985377,60.20627127573642,284.1884256683826,28.192081912725232,65.99488061156978,204.2036973986891,87.45039003869087,133.17901067591424,205.63983499146542,22.63223862178937,39.46242567771487,168.03405229239806,45.76977402643077,438.342129040929,213.58819523659943,190.21920655249255,263.82692631031796,66.20947468782215,81.606584600063,260.1765144767399,63.710139753375316,94.47122640234483,184.90343604482499,18.816015279115135,31.76842674277369,240.8827325233449,93.25636675044025,256.54711975139065,177.12818846838445,41.05667824531669,107.13041017628105,155.24684001632752,74.88359639634918,80.85617322675894,131.6198957228434,49.8911489042854,33.087335689420456,24.376427916367632,75.46034092495529,15.419751958575308,9.254886615793934
Volume,32115684.09090909,170916269.43690637,45008980.902306646,43694424.902306646,40121590.463704206,76923559.83717775,29937762.415196743,2741698.9823609227,110920299.8303935,14094565.128900949,5959854.782903664,12533157.191316146,51970549.01628222,10741447.421981005,3066711.7028493895,1042807.5305291723,2807992.672998643,4472675.169606513,7952774.525101764,11163465.04816825,1660226.7299864315,29229005.547829036,6905510.78697422,4065408.853459973,15302735.78697422,8968949.016282225,4183824.2537313434,75224817.43554953,22388976.42469471,2394515.6716417912,11366368.928086838,670193.9959294437,3065612.0420624153,7782504.6132971505,1469824.7286295793,6508502.992876527,11299821.20284939,1068627.1031207598,16523238.772048846,8113467.23202171,1644206.8521031206,195132.76797829036,23837491.689280868,3850352.442333786,8287939.484396201,2292509.2605156037,4961995.149253732,14302881.377204884,4764593.792401629,4164783.785617368,134865.80732700136,495497.45590230665,291035.1763907734,80084.05698778832,14701237.822252374,263165.84124830394,7831965.196743555,41001877.47523745,49120155.189959295
SMA_20,141.87216472315174,73.21472688539704,105.00959904707028,65.15700928881824,65.08311299918627,77.9803877058152,167.23457159730765,313.718073075565,85.70398818184513,56.824945054448925,132.7323996006553,251.90368990721018,41.52020314350381,88.03836411511074,253.11431966759616,297.75958060965934,102.043707280049,165.1864869877959,129.47456716281263,69.29873532349575,285.43374812619174,34.86394947290097,77.169726745665,203.17603576005394,99.0400140257024,136.46407609739654,209.0157367620895,25.071007458705918,46.598394873993044,178.6050277770132,52.06946767693136,490.6087029375571,236.1451792511235,198.18121558413256,296.33005340891907,75.50546681224249,90.95680527382984,277.3656654782987,82.26577164327759,118.71107814703416,197.6014640674824,20.79660124963142,34.65475453411708,253.18930922738568,106.18730591304266,274.6829990005234,194.7621291799817,48.21907300586779,122.53683622313646,172.1011173274171,80.64846374765341,93.0032636371364,133.730217870896,53.5353426181154,36.67315959280188,29.788588038487223,78.95765126359673,24.27155938252018,12.527209978721519
SMA_50,139.89636970904337,72.45022206626075,100.55034273872057,64.46944905126435,64.38883138744607,77.12253050675386,164.8379733550694,307.1969411295369,84.84140722303249,56.3504000079001,131.38336307414352,248.8371060110303,40.64221074613981,87.46632635473719,250.69269185313382,293.11652049324726,101.24566929238784,161.51807777360787,129.03213093450952,68.86007826987569,282.7671434391079,34.83744729615293,77.02540737817213,201.51090315623392,98.23716318087791,135.20147886744672,206.82435056427605,24.92349741973903,46.47546040965874,177.14879822861712,51.67876343724524,487.38970911168343,234.58381381973,197.61576134639,294.49749798369703,75.25038955535786,90.71394697551649,275.33257871270666,82.10822374713955,118.44727152235633,195.80430219564866,20.6193904304375,34.46911308333864,251.04416556049074,105.69593850261323,271.45973957097993,193.16506568326395,48.11063696474363,122.02948100329417,171.14119358228373,79.89373674726552,92.773819951817,132.88840623671842,53.177093702973636,36.55661960085502,29.80808508752644,78.59532333128165,24.321757419306675,12.510896682609857
%K,60.6497892347284,58.20758898091809,59.497095267022196,58.3242819848266,58.50581102957757,58.57723952485047,58.26985140627453,58.76490938765046,54.81577185291342,55.37773928884975,56.949477979473734,56.6127822471971,52.52001817880732,53.27734899883395,60.354274583378945,57.54667320887963,55.88263165898631,56.777446981705246,56.09551514431846,54.68743200438461,59.11856186305778,51.9614157675521,53.729924755351696,58.03488343244673,57.85625207852652,60.727073684791065,60.959026419632266,56.172356964273455,54.80613771037586,60.15303096665796,56.06919864040461,56.363776546612904,55.383046431494705,55.20722081207598,57.619689069692555,55.639488248664904,51.649679817399324,58.05126791065596,52.78331513949247,53.94730178696308,56.17239187291867,55.553263292226646,53.95285687141112,58.82400351055776,57.015817890816834,58.97925962326637,57.96792187645801,55.08909194528196,56.53029827930252,57.35795917271048,57.36679398559535,53.44925589541159,54.12892196840737,56.170428091917124,51.703716701613516,51.45633133922352,56.00715264519913,50.29353552675734,50.49372964763057
%D,60.67370966278546,58.221341341256604,59.50469556187995,58.33497019086568,58.51645895281762,58.587085270440674,58.26857286092006,58.77587747834753,54.809844470516225,55.39956008799386,56.97700249778724,56.614196626836645,52.52852651272683,53.292377063200654,60.38097282913443,57.56240801298966,55.88478855249171,56.76859650555017,56.10285371165937,54.68960764413134,59.12569979070156,51.969322483286646,53.74664593882279,58.05141575109028,57.85875150078822,60.74819827941368,60.973060958106046,56.177280771843314,54.801223873810905,60.18369626440138,56.0790012446731,56.38715193223141,55.38396271966075,55.21131154593975,57.62719041624337,55.64897800072562,51.652830222492014,58.054240860582674,52.80408999084384,53.956954185044225,56.189205499739636,55.552182383091626,53.96041793232248,58.81350866853982,57.019468206850235,58.97687390784244,57.98169054736207,55.08245479207537,56.53604994056973,57.34560183364901,57.38872237908439,53.45969615905976,54.15361275836262,56.179440934273735,51.709938756713925,51.44781718867235,56.014862096347606,50.294054773625696,50.51147755347268
